Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains,Issue_Size_Cr,Listing_Gain_%
2022-02-16,Vedant Fashions,3149.0,7.49,1.07,0.39,866.0,950.0,934.85,7.95,906.75,4.71,3149.0,9.699769053117784
2022-08-02,Adani Wilmar,3600.0,5.73,56.3,3.92,230.0,274.0,265.2,15.3,354.35,54.07,3600.0,19.130434782608695
2022-01-31,AGS Transact,716.87,2.68,25.61,3.08,175.0,176.0,161.3,-7.83,125.1,-28.51,716.87,0.5714285714285714
2021-12-31,CMS Info System,1100.0,1.98,1.45,2.15,216.0,242.95,237.4,9.91,245.45,13.63,1100.0,12.476851851851846
2021-12-28,Supriya Lifesci,700.0,31.83,161.22,56.01,274.0,425.0,390.35,42.46,410.95,49.98,700.0,55.1094890510949
2021-12-27,HP Adhesives,125.96,1.82,19.04,81.24,274.0,319.0,334.95,22.24,373.0,36.13,125.96,16.423357664233578
2021-12-24,Data Patterns,601.2,190.86,254.22,23.14,585.0,864.0,754.85,29.03,649.7,11.06,601.2,47.69230769230769
2021-12-22,Metro Brands,1376.63,8.49,3.02,1.13,500.0,436.0,493.55,-1.29,553.35,10.67,1376.63,-12.8
2021-12-21,C. E. Info Syst,1039.61,196.36,424.69,15.2,1033.0,1581.0,1394.55,35.0,1434.45,38.86,1039.61,53.04937076476283
2021-12-20,Shriram Prop,600.0,1.85,4.82,12.72,118.0,94.0,99.4,-15.76,88.3,-25.17,600.0,-20.33898305084746
2021-12-17,Rategain Travel,1354.0,8.42,42.04,8.08,425.0,364.8,340.5,-19.88,355.75,-16.29,1354.0,-14.164705882352937
2021-12-14,Anand Rathi,660.0,2.5,25.42,7.76,550.0,584.45,583.5,6.09,566.85,3.06,660.0,6.263636363636371
2021-12-13,Tega Industries,619.23,215.45,666.19,29.44,453.0,753.0,725.5,60.15,474.65,4.78,619.23,66.22516556291392
2021-10-12,Star Health,7318.15,1.03,0.19,1.1,900.0,903.0,906.85,0.76,728.05,-19.11,7318.15,0.33333333333333337
2021-11-26,Tarsons Product,1030.22,1.06,3.4,2.49,662.0,700.0,840.0,26.89,654.05,-1.2,1030.22,5.740181268882175
2021-11-23,Latent View,622.11,145.48,850.66,119.44,197.0,530.0,488.6,148.02,476.9,142.08,622.11,169.03553299492387
2021-11-18,Sapphire Foods,2073.0,3.11,2.34,5.25,1180.0,1311.0,1216.05,3.06,1418.8,20.24,2073.0,11.101694915254237
2021-11-18,One 97 Paytm,18915.9,2.79,0.24,1.66,2150.0,1955.0,1564.15,-27.25,833.55,-61.23,18915.9,-9.069767441860465
2021-11-15,PB Fintech,6273.5,9.83,2.58,1.67,980.0,1444.0,1202.9,22.74,751.5,-23.32,6273.5,47.3469387755102
2021-11-15,SJS Enterprises,816.57,1.42,2.32,1.38,542.0,514.0,509.85,-5.93,389.35,-28.16,816.57,-5.166051660516605
2021-11-15,Sigachi Ind,0.0,42.15,78.82,41.26,163.0,575.0,603.75,270.4,319.7,96.13,0.0,252.76073619631902
2021-12-11,Fino Payments,1209.0,1.65,0.21,5.92,577.0,548.0,545.25,-5.5,310.15,-46.25,1209.0,-5.025996533795494
2021-10-11,FSN E-Co Nykaa,5375.0,91.18,112.02,12.24,1125.0,2001.0,2206.7,96.15,1399.25,24.38,5375.0,77.86666666666666
2021-11-10,ABSL AMC,2768.0,4.1,2.6,1.68,712.0,697.5,699.65,-1.73,509.2,-28.48,2768.0,-2.0365168539325844
2021-01-10,Paras Defence,181.13,90.48,435.14,61.42,175.0,475.0,498.75,185.0,654.55,274.03,181.13,171.42857142857142
2021-09-24,Sansera Eng,1282.0,26.47,11.37,3.15,744.0,845.05,818.7,10.04,659.9,-11.3,1282.0,13.581989247311821
2021-09-14,Vijaya Diagnost,1895.04,13.07,1.32,1.09,531.0,542.3,619.3,16.63,434.4,-18.19,1895.04,2.1280602636534756
2021-09-14,AMI Organics,571.96,86.64,154.81,13.36,610.0,902.0,934.55,53.2,912.6,49.61,571.96,47.868852459016395
2021-06-09,APTUS VALUE,2790.0,32.41,33.91,1.35,353.0,360.0,374.05,5.96,355.2,0.62,2790.0,1.9830028328611897
2021-08-24,CHEMPLAST SANMA,3929.91,2.7,1.03,2.29,541.0,570.0,534.9,-1.13,524.0,-3.14,3929.91,5.360443622920517
2021-08-23,Nuvoco Vistas,5089.29,0.1,0.02,0.24,570.0,471.0,531.3,-6.79,383.25,-32.76,5089.29,-17.36842105263158
2021-08-20,CarTrade Tech,2998.0,0.55,0.09,0.81,1618.0,1600.0,1500.1,-7.29,587.8,-63.67,2998.0,-1.1124845488257107
2021-08-16,Windlas Biotech,405.95,24.4,15.73,24.27,460.0,439.0,406.7,-11.59,262.8,-42.87,405.95,-4.565217391304348
2021-08-16,Devyani Int,1858.0,95.27,213.06,39.52,90.0,141.0,123.35,37.06,166.1,84.56,1858.0,56.666666666666664
2021-08-16,Exxaro Tiles,161.09,17.67,5.36,40.1,120.0,126.0,132.25,10.21,127.7,6.42,161.09,5.0
2021-08-16,Krsnaa Diagnost,1222.0,49.83,116.3,42.04,954.0,1025.0,990.75,3.85,600.5,-37.05,1222.0,7.4423480083857445
2021-09-08,Rolex Rings,732.27,143.58,360.11,24.49,900.0,1249.0,1166.55,29.62,1225.25,36.14,732.27,38.77777777777778
2021-06-08,Glenmark Life,1513.0,0.98,0.87,4.61,720.0,752.0,748.2,3.92,523.0,-27.36,1513.0,4.444444444444445
